book_index_id,author
506,Terry Goodkind
507,Elizabeth Gaskell
508,Evelyn Waugh
509,Richard Dawkins (Goodreads Author)
510,Stephen King (Goodreads Author)
511,W. Somerset Maugham
511,Benjamin DeMott (Introduction)
511,Maeve Binchy (Afterword)
512,Neal Stephenson (Goodreads Author)
513,Max Brooks (Goodreads Author)
514,Libba Bray (Goodreads Author)
515,Sylvia Day (Goodreads Author)
516,Anne Rice
517,H.G. Wells
517,Arthur C. Clarke (Introduction)
518,Kelley Armstrong (Goodreads Author)
519,Alan Paton
520,Dalton Trumbo
521,Joanne Harris (Goodreads Author)
522,Jeaniene Frost (Goodreads Author)
523,Greg Mortenson (Goodreads Author)
523,David Oliver Relin
524,Simone Elkeles (Goodreads Author)
525,Victoria Aveyard (Goodreads Author)
526,Cassandra Clare (Goodreads Author)
527,Cassandra Clare (Goodreads Author)
528,Wilkie Collins
528,Matthew Sweet (Annotations)
529,Dan Brown (Goodreads Author)
530,Sarah Dessen (Goodreads Author)
531,Arthur C. Clarke
532,Sarah Dessen (Goodreads Author)
533,Deborah Harkness (Goodreads Author)
534,Neal Shusterman (Goodreads Author)
535,Irvine Welsh
536,P.D. Eastman
537,John Steinbeck
538,William Shakespeare
538,Barbara A. Mowat (Editor)
538,Paul Werstine (Editor)
538,Robert Jackson (Editor)
538,Gail Kern Paster (Contributor)
539,Marcel Proust
539,Lydia Davis (Translator)
540,Tatiana de Rosnay (Goodreads Author)
541,Chris Van Allsburg
541,Liam Neeson (Narrator)
542,Sherrilyn Kenyon (Goodreads Author)
543,D.H. Lawrence
544,Kiera Cass (Goodreads Author)
545,Becca Fitzpatrick (Goodreads Author)
546,Daniel Quinn
547,J.D. Salinger
548,Michelle Hodkin (Goodreads Author)
549,J.R.R. Tolkien
550,Jennifer Niven (Goodreads Author)
551,Jon Krakauer (Goodreads Author)
552,Thomas Hardy
552,Rosemarie Morgan (Editor/Introduction)
552,Shannon Russell (Editor/Introduction)
553,R.D. Ronald
554,Pittacus Lore
555,Susan Ee (Goodreads Author)
556,Charlaine Harris (Goodreads Author)
557,Jane Austen
557,Deidre Shauna Lynch (Introduction)
557,James Kinsley (Editor)
558,Paullina Simons
559,Max Lucado (Goodreads Author)
560,Garth Nix (Goodreads Author)
561,Abraham Verghese (Goodreads Author)
562,Laura Ingalls Wilder
562,Garth Williams (Illustrator)
563,Martin Heidegger
564,Shannon Hale (Goodreads Author)
565,Dodie Smith
566,Randy Pausch
567,Tahereh Mafi
568,Tennessee Williams
568,Robert Bray (Introduction)
569,William Shakespeare
570,Alexandra Bracken (Goodreads Author)
571,Chuck Palahniuk (Goodreads Author)
572,Michael Cunningham (Goodreads Author)
573,Diana Gabaldon (Goodreads Author)
574,Melissa Marr (Goodreads Author)
575,Cecelia Ahern
576,Sarah J. Maas (Goodreads Author)
577,P.C. Cast (Goodreads Author)
577,Kristin Cast (Goodreads Author)
578,Ken Follett (Goodreads Author)
579,Charles Dickens
579,Joe L. Wheeler (Contributor)
580,William Shakespeare
580,Robert Jackson (Editor)
580,Barbara A. Mowat (Editor)
580,Paul Werstine (Editor)
581,Peter S. Beagle (Goodreads Author)
582,Colleen Hoover (Goodreads Author)
583,Laura Ingalls Wilder
583,Garth Williams (Illustrator)
584,Dan Simmons
584,Gary Ruddell (Illustrator)
585,Cormac McCarthy
586,Barbara Kingsolver
587,Maggie Stiefvater (Goodreads Author)
588,Lemony Snicket (Goodreads Author)
588,Brett Helquist (Illustrator)
589,Edmond Rostand
589,Eteel Lawson (Introduction)
589,Lowell Bair (Translation)
590,Orson Scott Card
591,Ellen Raskin
592,Jhumpa Lahiri
593,Rick Riordan (Goodreads Author)
594,E. Lockhart (Goodreads Author)
595,Donna Tartt
596,Robert Penn Warren
597,William Shakespeare
597,Roma Gill
598,Diamante Lavendar (Goodreads Author)
599,L.M. Montgomery
600,W. Bruce Cameron (Goodreads Author)
601,Leif Enger
602,Lionel Shriver (Goodreads Author)
603,C.S. Lewis
603,Pauline Baynes (Illustrator)
604,Patrick Ness
605,Iain Banks
606,Sun Tzu
606,Thomas Cleary (Translator)
606,Pulat Otkan (Translator)
606,Giray Fidan (Translator)
607,Maria V. Snyder (Goodreads Author)
608,Edith Hamilton
608,Steele Savage (Illustrator)
609,J.R.R. Tolkien
609,Peter S. Beagle (Goodreads Author) (Introduction)
610,Aleksandr Solzhenitsyn
610,H.T. Willetts (Translation)
611,Rhonda Byrne
612,Anne Rice
613,Tim LaHaye
613,Jerry B. Jenkins
614,Jasper Fforde (Goodreads Author)
615,Christopher Paolini (Goodreads Author)
616,Lauren Oliver (Goodreads Author)
617,Stephen King (Goodreads Author)
617,Peter Straub (Goodreads Author)
618,Gayle Forman (Goodreads Author)
619,C.S. Lewis
620,Kim Edwards (Goodreads Author)
621,Patrick Ness
622,Karen Marie Moning (Goodreads Author)
623,Michael Grant (Goodreads Author)
624,Richard Wright
625,Laura Hillenbrand
626,Margaret Atwood (Goodreads Author)
627,Michael Shaara
628,Umberto Eco
628,William Weaver (Translator)
